Time;Campaign;File Name;Longitude;Latitude;RxLev;RxQual;BCCH;Technology;Home Operator;DL EARFCN
2022-08-20 12:09:20.655;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-47;;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:21.057;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-74;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:21.459;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-70;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:21.660;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-67;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:22.663;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-68;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:23.265;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-70;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:23.464;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-69;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:23.508;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-69;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:24.068;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-110;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:24.402;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00695000;-3.45026800;-47;;778;GSM;Telkomsel;
2022-08-20 12:09:24.471;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-66;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:24.874;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-69;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:25.478;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-70;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:25.882;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-69;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:26.408;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00695000;-3.45026800;-47;;778;GSM;Telkomsel;
2022-08-20 12:09:26.466;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-69;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:26.608;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00695000;-3.45026800;-59;;778;GSM;Telkomsel;
2022-08-20 12:09:26.871;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-70;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:27.274;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-73;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:27.614;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00695000;-3.45026800;-56;0;778;GSM;Telkomsel;
2022-08-20 12:09:27.877;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-71;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:28.013;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00695000;-3.45026800;-55;0;778;GSM;Telkomsel;
2022-08-20 12:09:28.499;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00695000;-3.45026800;-55;0;778;GSM;Telkomsel;
2022-08-20 12:09:28.617;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00695000;-3.45026800;-57;0;778;GSM;Telkomsel;
2022-08-20 12:09:28.885;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-69;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:29.691;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-71;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:29.824;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00695000;-3.45026800;-56;0;778;GSM;Telkomsel;
2022-08-20 12:09:30.296;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-72;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:30.428;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00695000;-3.45026800;-57;0;778;GSM;Telkomsel;
2022-08-20 12:09:31.034;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00695000;-3.45026800;-56;0;778;GSM;Telkomsel;
2022-08-20 12:09:31.416;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00695000;-3.45026800;-57;0;778;GSM;Telkomsel;
2022-08-20 12:09:31.819;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00695000;-3.45026800;-60;0;778;GSM;Telkomsel;
2022-08-20 12:09:32.088;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-71;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:32.492;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-73;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:32.827;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00695000;-3.45026800;-61;0;778;GSM;Telkomsel;
2022-08-20 12:09:33.097;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-74;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:33.227;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00695000;-3.45026800;-61;0;778;GSM;Telkomsel;
2022-08-20 12:09:33.499;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-75;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:33.632;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00695000;-3.45026800;-63;0;778;GSM;Telkomsel;
2022-08-20 12:09:34.101;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-74;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:34.840;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00695000;-3.45026800;-64;0;778;GSM;Telkomsel;
2022-08-20 12:09:35.446;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00695000;-3.45026800;-65;0;778;GSM;Telkomsel;
2022-08-20 12:09:35.695;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-75;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:36.031;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00695000;-3.45026800;-66;0;778;GSM;Telkomsel;
2022-08-20 12:09:36.499;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-74;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:36.902;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-75;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:37.038;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00695000;-3.45026800;-67;0;778;GSM;Telkomsel;
2022-08-20 12:09:37.643;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00695000;-3.45026800;-68;0;778;GSM;Telkomsel;
2022-08-20 12:09:38.449;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00695000;-3.45026800;-70;0;778;GSM;Telkomsel;
2022-08-20 12:09:39.052;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00695000;-3.45026800;-70;0;778;GSM;Telkomsel;
2022-08-20 12:09:39.117;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-75;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:39.320;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-76;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:39.657;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00695000;-3.45026800;-72;0;778;GSM;Telkomsel;
2022-08-20 12:09:39.721;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-77;1;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:40.307;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-79;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:40.444;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00695000;-3.45026800;-74;0;778;GSM;Telkomsel;
2022-08-20 12:09:40.913;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-78;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:41.113;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-80;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:42.121;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-79;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:42.255;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00695000;-3.45026800;-73;0;778;GSM;Telkomsel;
2022-08-20 12:09:42.724;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-78;1;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:43.129;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-77;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:43.730;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-78;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:44.135;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-80;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:44.273;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00695000;-3.45026800;-73;0;778;GSM;Telkomsel;
2022-08-20 12:09:45.122;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-80;2;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:45.728;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-80;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:45.928;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-79;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:46.266;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00695000;-3.45026800;-72;0;778;GSM;Telkomsel;
2022-08-20 12:09:46.869;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00695000;-3.45026800;-73;0;778;GSM;Telkomsel;
2022-08-20 12:09:46.936;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-82;1;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:47.072;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00695000;-3.45026800;-73;0;778;GSM;Telkomsel;
2022-08-20 12:09:47.540;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-79;2;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:47.943;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-80;1;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:48.347;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-81;1;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:48.684;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00695000;-3.45026800;-72;0;778;GSM;Telkomsel;
2022-08-20 12:09:49.335;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-82;1;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:49.738;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-84;3;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:49.873;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00695000;-3.45026800;-73;0;778;GSM;Telkomsel;
2022-08-20 12:09:50.342;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-84;2;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:50.744;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-80;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:51.082;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00695000;-3.45026800;-72;0;778;GSM;Telkomsel;
2022-08-20 12:09:51.348;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-83;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:51.485;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00695000;-3.45026800;-73;0;778;GSM;Telkomsel;
2022-08-20 12:09:51.752;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-81;1;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:51.888;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00695000;-3.45026800;-74;0;778;GSM;Telkomsel;
2022-08-20 12:09:52.153;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-83;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:52.761;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-83;1;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:53.164;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-85;2;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:53.298;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00695000;-3.45026800;-73;0;778;GSM;Telkomsel;
2022-08-20 12:09:53.765;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-84;4;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:53.885;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00695000;-3.45026800;-74;0;778;GSM;Telkomsel;
2022-08-20 12:09:54.149;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-86;2;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:54.485;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00695000;-3.45026800;-73;0;778;GSM;Telkomsel;
2022-08-20 12:09:54.551;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-85;2;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:54.890;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00695000;-3.45026800;-74;0;778;GSM;Telkomsel;
2022-08-20 12:09:55.155;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-88;1;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:55.559;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-82;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:56.163;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-83;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:56.566;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-82;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:57.070;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00695000;-3.45026800;-74;0;778;GSM;Telkomsel;
2022-08-20 12:09:57.573;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-84;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:58.358;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-84;2;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:58.964;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-82;1;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:59.101;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00695000;-3.45026800;-74;0;778;GSM;Telkomsel;
2022-08-20 12:09:59.367;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-83;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:09:59.972;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00695000;-3.45026800;-79;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:10:00.310;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00695000;-3.45026800;-75;0;778;GSM;Telkomsel;
2022-08-20 12:10:00.373;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00694500;-3.45026700;-82;1;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:10:00.981;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00694500;-3.45026700;-84;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:10:01.519;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00694000;-3.45026500;-74;0;778;GSM;Telkomsel;
2022-08-20 12:10:01.582;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00694000;-3.45026500;-80;2;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:10:01.785;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00694000;-3.45026500;-84;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:10:02.387;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00694000;-3.45026500;-79;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:10:02.507;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00694000;-3.45026500;-73;0;778;GSM;Telkomsel;
2022-08-20 12:10:03.111;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00694000;-3.45026500;-74;0;778;GSM;Telkomsel;
2022-08-20 12:10:03.176;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00694000;-3.45026500;-86;1;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:10:03.515;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00694000;-3.45026500;-73;0;778;GSM;Telkomsel;
2022-08-20 12:10:03.916;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00694000;-3.45026500;-74;0;778;GSM;Telkomsel;
2022-08-20 12:10:04.184;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00694000;-3.45026500;-87;3;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:10:04.321;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00694000;-3.45026500;-75;0;778;GSM;Telkomsel;
2022-08-20 12:10:04.787;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00694000;-3.45026500;-85;0;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:10:04.924;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00694000;-3.45026500;-73;0;778;GSM;Telkomsel;
2022-08-20 12:10:05.189;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00694000;-3.45026500;-88;1;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:10:05.793;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00694000;-3.45026500;-87;3;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:10:05.933;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00694000;-3.45026500;-74;0;778;GSM;Telkomsel;
2022-08-20 12:10:06.398;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00694000;-3.45026500;-88;2;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:10:07.001;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1513-2469-A.mf;116.00694000;-3.45026500;-89;4;83;GSM;Indosat Ooredoo Hutchison;
2022-08-20 12:10:07.324;BP3_ST_05_VOICE DE ON NET;2022-08-20-12-08-58-3151-1402-1520-9895-B.mf;116.00694000;-3.45026500;-72;0;778;GSM;Telkomsel;
