Time;Campaign;File Name;Longitude;Latitude;RSRP;RSRQ;PCI LTE;Technology;Home Operator;DL EARFCN
2022-08-20 12:00:13.433;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1516-2151-S.mf;116.00692300;-3.45024200;-96;-5;298;LTE;Fren/Hepi;39050
2022-08-20 12:00:13.587;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1503-6975-S.mf;116.00692300;-3.45024200;-82;-7;240;LTE;XL;1325
2022-08-20 12:00:13.609;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1525-5443-S.mf;116.00692300;-3.45024200;-83;-9;59;LTE;Telkomsel;1850
2022-08-20 12:00:14.029;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1516-2151-S.mf;116.00692300;-3.45024200;-96;-5;298;LTE;Fren/Hepi;39050
2022-08-20 12:00:14.189;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1503-6975-S.mf;116.00692300;-3.45024200;-81;-7;240;LTE;XL;1325
2022-08-20 12:00:14.210;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1525-5443-S.mf;116.00692300;-3.45024200;-83;-9.3;59;LTE;Telkomsel;1850
2022-08-20 12:00:14.430;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1516-2151-S.mf;116.00692300;-3.45024200;-96;-5;298;LTE;Fren/Hepi;39050
2022-08-20 12:00:14.484;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1519-2687-S.mf;116.00692300;-3.45024200;-91;-9;446;LTE;Indosat Ooredoo Hutchison;3652
2022-08-20 12:00:14.484;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1519-2687-S.mf;116.00692300;-3.45024200;-92;-13;446;LTE;Indosat Ooredoo Hutchison;1625
2022-08-20 12:00:14.534;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1525-5443-S.mf;116.00692300;-3.45024200;-83;-9;59;LTE;Telkomsel;1850
2022-08-20 12:00:14.537;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1503-6975-S.mf;116.00692300;-3.45024200;-81;-9;240;LTE;XL;1325
2022-08-20 12:00:14.537;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1503-6975-S.mf;116.00692300;-3.45024200;-82;-11;240;LTE;XL;376
2022-08-20 12:00:14.747;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1516-2151-S.mf;116.00692300;-3.45024200;-96;-5;298;LTE;Fren/Hepi;39050
2022-08-20 12:00:14.747;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1516-2151-S.mf;116.00692300;-3.45024200;-91;-7;298;LTE;Fren/Hepi;39194
